k,concepts,auroc_mean,auroc_std,auprc_mean,auprc_std,balacc_mean,balacc_std
3,"color_var, blue_white_veil, pigment_network",0.7848311090494023,0.02687700618228914,0.5911720220419868,0.04493571649296129,0.6661798831728698,0.012666098115023419
5,"color_var, blue_white_veil, pigment_network, vascular, regression",0.794246862138446,0.02408567672222108,0.6013888214069212,0.036377504564661274,0.6952600426555717,0.017152457479830796
7,"color_var, blue_white_veil, pigment_network, vascular, regression, border, asymmetry",0.7944176399611818,0.025368193852033514,0.6094495902490563,0.03441811825471441,0.6939003764434799,0.015627651332277885
9,"color_var, blue_white_veil, pigment_network, vascular, regression, border, asymmetry, dots_globules, streaks",0.789252006760043,0.02797408302256555,0.5992203143243734,0.045656990957112877,0.6897820225589074,0.013913847543580165
